model_type,model,eval_method,n_candidates,k,hit_rate,mrr,precision,recall,ndcg
LLM,infobip-gpt-4-1,standalone,6924,5,0.3023023023023023,0.231348014681348,0.0734734734734734,0.2041708375041708,0.1910226125131488
LLM,infobip-gpt-4-1,standalone,6924,10,0.3653653653653653,0.2397127286016175,0.0448448448448448,0.2474474474474474,0.2074157150543479
LLM,infobip-gpt-4-1-mini,standalone,6924,1,0.1371371371371371,0.1371371371371371,0.1371371371371371,0.0874207540874207,0.1371371371371371
LLM,infobip-gpt-4-1-mini,standalone,6924,5,0.2422422422422422,0.1775275275275275,0.0546546546546546,0.1524691358024691,0.140359938615181
LLM,infobip-gpt-4-1-mini,standalone,6924,10,0.2982982982982983,0.1847673069895292,0.0341341341341341,0.188355021688355,0.1538181803377226
LLM,gpt-5.2,standalone,6924,1,0.2192192192192192,0.2192192192192192,0.2192192192192192,0.14341007674341,0.2192192192192192
LLM,gpt-5.2,standalone,6924,5,0.3823823823823823,0.2815648982315649,0.0916916916916916,0.2476643309976643,0.2304782988744051
LLM,gpt-5.2,standalone,6924,10,0.4364364364364364,0.288783624894736,0.0539539539539539,0.2890724057390724,0.2462080312318732
LLM,gemini-3-pro,standalone,6924,1,0.2812812812812812,0.2812812812812812,0.2812812812812812,0.1776443109776443,0.2812812812812812
LLM,gemini-3-pro,standalone,6924,5,0.4054054054054054,0.3315482148815482,0.1031031031031031,0.2769102435769102,0.2697954873634418
LLM,gemini-3-pro,standalone,6924,10,0.4444444444444444,0.3365520282186949,0.058058058058058,0.3075241908575242,0.2817003391290144
LLM,claude-sonnet-4-6,standalone,6924,1,0.2122122122122122,0.2122122122122122,0.2122122122122122,0.1346012679346012,0.2122122122122122
LLM,claude-sonnet-4-6,standalone,6924,5,0.3483483483483483,0.2654654654654654,0.0842842842842842,0.2239072405739072,0.2124418315790457
LLM,claude-sonnet-4-6,standalone,6924,10,0.3993993993993994,0.2723537029092585,0.0501501501501501,0.2669836503169837,0.2285641378445731
LLM,infobip-gpt-4-1,zero_shot,0,1,0.1781781781781782,0.1781781781781782,0.1781781781781782,0.1229062395729062,0.1781781781781782
LLM,infobip-gpt-4-1,zero_shot,0,5,0.2942942942942942,0.2211044377711044,0.0698698698698698,0.1955455455455455,0.18451926798771
LLM,infobip-gpt-4-1,zero_shot,0,10,0.3453453453453453,0.2277245499467721,0.0421421421421421,0.2319319319319319,0.198315600152004
LLM,infobip-gpt-4-1-mini,zero_shot,0,1,0.1771771771771771,0.1771771771771771,0.1771771771771771,0.1126292959626293,0.1771771771771771
LLM,infobip-gpt-4-1-mini,zero_shot,0,5,0.2882882882882883,0.2206706706706707,0.069069069069069,0.184401067734401,0.1759903719633843
LLM,infobip-gpt-4-1-mini,zero_shot,0,10,0.3553553553553553,0.2293277404388515,0.0433433433433433,0.2318651985318651,0.1936500470934246
LLM,gpt-5.2,zero_shot,0,1,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1444444444444444,0.2222222222222222
