model_type,model,eval_method,n_candidates,n_prompts,item_coverage@1,unique_items@1,avg_popularity@1,catalog_match_rate@1,item_coverage@5,unique_items@5,avg_popularity@5,catalog_match_rate@5,item_coverage@10,unique_items@10,avg_popularity@10,catalog_match_rate@10,hit_rate@1,hit_rate@5,hit_rate@10,mrr@1,mrr@5,mrr@10,precision@1,precision@5,precision@10,recall@1,recall@5,recall@10,f1@1,f1@5,f1@10,ndcg@1,ndcg@5,ndcg@10
CF,NeuMF,candidate_reranking,c500,999,0.048093587521663775,333.0,121.63663663663664,1.0,0.1353264009243212,937.0,84.09489489489488,1.0,0.20667244367417678,1431.0,67.5797797797798,1.0,0.055055055055055056,0.13413413413413414,0.18218218218218218,0.055055055055055056,0.08350016683350016,0.0899431177208955,0.055055055055055056,0.02902902902902903,0.02052052052052052,0.028978978978978977,0.08143143143143143,0.11411411411411411,0.03596930263596931,0.0408908908908909,0.03365815865815867,0.055055055055055056,0.06541215462050616,0.07778628012800366
CF,Pop,candidate_reranking,c1000,999,0.0034662045060658577,24.0,280.6836836836837,1.0,0.008376660889659156,58.0,191.88168168168167,1.0,0.01487579433853264,103.0,156.2972972972973,1.0,0.026026026026026026,0.055055055055055056,0.09009009009009009,0.026026026026026026,0.03580246913580247,0.0405055849500294,0.026026026026026026,0.011811811811811812,0.00950950950950951,0.012879546212879546,0.02976309642976309,0.0490990990990991,0.016483149816483147,0.016066860511304955,0.015329340329340328,0.026026026026026026,0.025553480873316405,0.03294576230436616
CF,Pop,candidate_reranking,c250,999,0.007510109763142692,52.0,211.06806806806807,1.0,0.0255632582322357,177.0,138.18018018018017,1.0,0.047660311958405546,330.0,107.6837837837838,1.0,0.024024024024024024,0.06306306306306306,0.1061061061061061,0.024024024024024024,0.037671004337671,0.04329130718019607,0.024024024024024024,0.013013013013013013,0.011411411411411412,0.012712712712712713,0.03460126793460126,0.06338004671338004,0.015815815815815815,0.018037084703751375,0.0187344520677854,0.024024024024024024,0.028300607316648022,0.03882983356024256
CF,Pop,candidate_reranking,c500,999,0.005488157134604275,38.0,242.24124124124126,1.0,0.014298093587521665,99.0,163.24264264264264,1.0,0.027585210860774118,191.0,131.106006006006,1.0,0.023023023023023025,0.06006006006006006,0.0960960960960961,0.023023023023023025,0.03438438438438438,0.03904340848785293,0.023023023023023025,0.012212212212212211,0.01001001001001001,0.011961961961961962,0.034684684684684684,0.05385385385385385,0.014881548214881545,0.017210861655306102,0.016296549629882962,0.023023023023023025,0.02641755635407787,0.03375713763070486
CF,Random,candidate_reranking,c1000,999,0.1133737723859041,785.0,10.87176724137931,0.928928928928929,0.35008665511265163,2424.0,10.540223556890224,0.93993993993994,0.4719815135759676,3268.0,10.548560465227132,0.9394394394394395,0.001001001001001001,0.009009009009009009,0.01001001001001001,0.001001001001001001,0.0037871204537871204,0.0039539539539539545,0.001001001001001001,0.0018018018018018018,0.001001001001001001,0.00025025025025025025,0.005171838505171838,0.005505505505505505,0.0004004004004004004,0.0025183914072802968,0.0016276682943349612,0.001001001001001001,0.0032519104416600803,0.0034192382244090315
CF,Random,candidate_reranking,c250,999,0.10889659156556904,754.0,12.598719316969051,0.9379379379379379,0.3128249566724437,2166.0,13.16886886886887,0.9449449449449451,0.4195551704217215,2905.0,13.274076060187172,0.9461461461461462,0.002002002002002002,0.009009009009009009,0.02702702702702703,0.002002002002002002,0.004287620954287621,0.006525573192239859,0.002002002002002002,0.0018018018018018018,0.002702702702702703,0.0012512512512512512,0.005255255255255256,0.014631297964631296,0.0014014014014014013,0.0025136969581414027,0.004419596086262753,0.002002002002002002,0.0037174364531588427,0.007206879656113555
CF,Random,candidate_reranking,c500,999,0.11265164644714037,780.0,11.405144694533762,0.933933933933934,0.3292894280762565,2280.0,11.726376376376376,0.9411411411411412,0.43919699595609474,3041.0,12.150862767529436,0.9406406406406407,0.0,0.005005005005005005,0.015015015015015015,0.0,0.0020854187520854186,0.0034045950712617377,0.0,0.001001001001001001,0.0015015015015015015,0.0,0.0030864197530864196,0.008291624958291624,0.0,0.0014260292038069816,0.002438594105260772,0.0,0.0019681604565037806,0.0039415645623544415
Sequential,GRU4Rec,candidate_reranking,c1000,999,0.0658578856152513,456.0,90.65865865865865,1.0,0.1683997689196996,1166.0,71.57737737737736,1.0,0.2388792605430387,1654.0,62.987987987987985,1.0,0.043043043043043044,0.12412412412412413,0.1841841841841842,0.043043043043043044,0.07220553887220553,0.07990013823347157,0.043043043043043044,0.026826826826826824,0.02052052052052052,0.021388054721388054,0.07092092092092092,0.11202869536202868,0.02724629391296058,0.03725558170002615,0.033621283621283624,0.043043043043043044,0.05560722187344919,0.07057519854795809
Sequential,GRU4Rec,candidate_reranking,c250,999,0.06195840554592721,429.0,86.97297297297297,1.0,0.15901213171577122,1101.0,66.24224224224224,1.0,0.23006932409012132,1593.0,57.82242242242242,1.0,0.043043043043043044,0.12712712712712712,0.17917917917917917,0.043043043043043044,0.0741408074741408,0.08087412809635032,0.043043043043043044,0.026826826826826827,0.01961961961961962,0.02150483817150484,0.07409075742409074,0.10885885885885886,0.027146193812860476,0.037577332021776474,0.03217349050682384,0.043043043043043044,0.057475296818900595,0.07031825565648178
Sequential,GRU4Rec,candidate_reranking,c500,999,0.06383593298671288,442.0,89.58458458458459,1.0,0.16334488734835356,1131.0,68.93433433433432,1.0,0.23613518197573657,1635.0,60.21661661661662,1.0,0.04104104104104104,0.12612612612612611,0.17417417417417416,0.04104104104104104,0.07110443777110444,0.07754222476444698,0.04104104104104104,0.026426426426426425,0.019219219219219222,0.020003336670003338,0.07325658992325658,0.10682349015682349,0.025477858811192144,0.0371205260094149,0.03157885657885658,0.04104104104104104,0.055294290159595215,0.06785768173547384
Sequential,NARM,candidate_reranking,c1000,999,0.060947429231658,422.0,108.88088088088088,1.0,0.1678220681686886,1162.0,77.86766766766767,1.0,0.24783362218370883,1716.0,67.28968968968968,1.0,0.04504504504504504,0.12612612612612611,0.17217217217217218,0.04504504504504504,0.07527527527527526,0.08112000889778667,0.04504504504504504,0.026826826826826827,0.018918918918918916,0.026443109776443107,0.07322322322322321,0.10231898565231899,0.031865198531865195,0.037683715461493246,0.031050064383397722,0.04504504504504504,0.05993027025920839,0.07085693363243054
Sequential,NARM,candidate_reranking,c250,999,0.057481224725592146,398.0,101.37137137137137,1.0,0.16190063547082612,1121.0,69.8924924924925,1.0,0.2401790872328134,1663.0,58.81891891891892,0.9994994994994995,0.04904904904904905,0.12012012012012012,0.16116116116116116,0.04904904904904905,0.07472472472472472,0.08006856062411617,0.04904904904904905,0.02582582582582583,0.01771771771771772,0.027560894227560893,0.07242242242242242,0.09753086419753085,0.03363363363363363,0.03641816419594198,0.02909388742722076,0.04904904904904905,0.05907261674316541,0.06860066700121693
Sequential,NARM,candidate_reranking,c500,999,0.0586366262276141,406.0,106.34334334334335,1.0,0.16334488734835356,1131.0,74.02242242242242,1.0,0.2385904101675332,1652.0,63.2017017017017,0.9998998998998999,0.04604604604604605,0.11611611611611612,0.16916916916916916,0.04604604604604605,0.07292292292292292,0.08009755787533565,0.04604604604604605,0.024624624624624628,0.018518518518518517,0.025942609275942607,0.07002002002002,0.10231898565231899,0.031698365031698365,0.03495320717542941,0.030427355427355432,0.04604604604604605,0.05740445323453468,0.06981500953114964
Sequential,SASRec,candidate_reranking,c1000,999,0.029896013864818025,207.0,147.8948948948949,1.0,0.08347775852108608,578.0,100.5917917917918,1.0,0.12796071634893125,886.0,83.16166166166167,1.0,0.04004004004004004,0.13213213213213212,0.2092092092092092,0.04004004004004004,0.07300633967300635,0.08323799990466657,0.04004004004004004,0.02862862862862863,0.023623623623623625,0.02302302302302302,0.07831164497831163,0.12922922922922922,0.02779446112779446,0.04013457902346792,0.03874056374056375,0.04004004004004004,0.059901201666581735,0.07909701092877036
Sequential,SASRec,candidate_reranking,c250,999,0.036539572501444254,253.0,128.37737737737737,1.0,0.10109763142692085,700.0,85.64724724724725,1.0,0.15915655690352398,1102.0,67.95960404849295,0.9998998998998999,0.03803803803803804,0.12412412412412413,0.18018018018018017,0.03803803803803804,0.06865198531865198,0.07596207318429542,0.03803803803803804,0.02642642642642643,0.020420420420420422,0.021021021021021023,0.07180513847180514,0.11338004671338003,0.025792459125792457,0.036893242448798005,0.0335332668666002,0.03803803803803804,0.05502418792417261,0.07046219444307132
Sequential,SASRec,candidate_reranking,c500,999,0.032351242056614674,224.0,136.57457457457457,1.0,0.09055459272097054,627.0,93.37117117117117,1.0,0.1412478336221837,978.0,75.42532532532532,1.0,0.037037037037037035,0.13413413413413414,0.19119119119119118,0.037037037037037035,0.07267267267267266,0.08021116354449688,0.037037037037037035,0.028228228228228232,0.021721721721721723,0.021521521521521522,0.07842842842842843,0.1216383049716383,0.025792459125792453,0.03967141744919523,0.03570872737539405,0.037037037037037035,0.0594111827809022,0.07553504322016867
Sequential,SRGNN,candidate_reranking,c1000,999,0.042027729636048526,291.0,130.4084084084084,1.0,0.11785095320623917,816.0,92.62202202202202,1.0,0.17518775274407858,1213.0,77.77027027027027,1.0,0.04004004004004004,0.11211211211211211,0.16416416416416416,0.04004004004004004,0.06406406406406406,0.07075090963979852,0.04004004004004004,0.023423423423423427,0.017817817817817824,0.023273273273273273,0.06429763096429762,0.096996996996997,0.028061394728061392,0.0327819883375439,0.02913142079808747,0.04004004004004004,0.05109523778376876,0.06337722412984265
Sequential,SRGNN,candidate_reranking,c250,999,0.04462738301559792,309.0,115.003003003003,1.0,0.12536106296938185,868.0,79.51137804471138,0.9991991991991992,0.18529751588677065,1283.0,64.44297630964297,0.9990990990990991,0.03803803803803804,0.1061061061061061,0.15915915915915915,0.03803803803803804,0.0622122122122122,0.06936658881103325,0.03803803803803804,0.022022022022022022,0.017417417417417418,0.021021021021021023,0.061094427761094416,0.09402736069402735,0.025792459125792457,0.030786341897453013,0.028442095108761774,0.03803803803803804,0.04867730456760266,0.06149081453767105
Sequential,SRGNN,candidate_reranking,c500,999,0.043327556325823226,300.0,122.27527527527528,1.0,0.12261698440207973,849.0,85.73893893893893,0.9997997997997997,0.18038705950317735,1249.0,70.91641641641641,0.9996996996996997,0.03803803803803804,0.10510510510510511,0.15615615615615616,0.03803803803803804,0.06104437771104438,0.0678698539809651,0.03803803803803804,0.021621621621621623,0.01711711711711712,0.021938605271938603,0.05895895895895896,0.09632966299632967,0.02655989322655989,0.030148402370624598,0.028127794794461463,0.03803803803803804,0.047516869004867374,0.061396753551536364
