model,model_display,prompt_idx,temperature,n_trials,raw_ndcg@10_mean,raw_ndcg@10_std,strict_ndcg@10_mean,strict_ndcg@10_std,candidate_valid_rate@10_mean,raw_jaccard_distance@10,strict_jaccard_distance@10,raw_list_position_distance@10,strict_list_position_distance@10,raw_exact_list_agreement@10,strict_exact_list_agreement@10,raw_item_coverage@10,raw_unique_items@10,raw_avg_popularity@10,raw_catalog_match_rate@10,strict_item_coverage@10,strict_unique_items@10,strict_avg_popularity@10,strict_catalog_match_rate@10,raw_ndcg@10_cv,strict_ndcg@10_cv
Gemma-2-9B,Gemma-2-9B,427,2.0,20,0.0,0.0,0.0,0.0,0.26,0.9788367402472421,0.8954758107389686,0.91,0.38473684210526315,0.0,0.07894736842105263,0.005343731946851531,37.0,22.55654761904762,0.30500000000000005,0.004332755632582322,30.0,20.91462585034014,0.255,,
Gemma-2-9B,Gemma-2-9B,442,0.0,20,0.0,0.0,0.0,0.0,0.8999999999999998,0.0,0.0,0.0,0.0,1.0,1.0,0.0012998266897746968,9.0,24.444444444444446,0.8999999999999998,0.0012998266897746968,9.0,24.444444444444446,0.8999999999999998,,
Gemma-2-9B,Gemma-2-9B,442,0.5,20,0.0,0.0,0.0,0.0,0.8699999999999999,0.6109994807348971,0.6150132817818577,0.7247368421052631,0.6378947368421052,0.0,0.0,0.004910456383593298,34.0,24.23986111111111,0.8949999999999999,0.004766031195840554,33.0,24.340277777777775,0.85,,
Gemma-2-9B,Gemma-2-9B,442,1.0,20,0.0,0.0,0.0,0.0,0.825,0.7692073420034965,0.7764593980151256,0.8878947368421055,0.8257894736842107,0.0,0.0,0.006499133448873483,45.0,18.603948412698415,0.835,0.006354708261120739,44.0,18.34920634920635,0.7950000000000002,,
Gemma-2-9B,Gemma-2-9B,442,2.0,20,0.0,0.0,0.0,0.0,0.16999999999999998,0.9942436134195137,0.707328548644338,0.9526315789473684,0.29157894736842105,0.0,0.2894736842105263,0.00389948006932409,27.0,10.741666666666667,0.16,0.00389948006932409,27.0,10.741666666666667,0.16,,
Gemma-2-9B,Gemma-2-9B,445,0.0,20,0.0,0.0,0.0,0.0,0.5999999999999999,0.0,0.0,0.0,0.0,1.0,1.0,0.0010109763142692085,7.0,39.42857142857143,0.6999999999999998,0.0007221259387637204,5.0,30.0,0.5,,
Gemma-2-9B,Gemma-2-9B,445,0.5,20,0.0,0.0,0.0,0.0,0.645,0.5542797295583674,0.5231798464693201,0.8,0.6163157894736842,0.0,0.0,0.004043905257076834,28.0,31.013472222222227,0.85,0.002310803004043905,16.0,23.312123015873016,0.605,,
Gemma-2-9B,Gemma-2-9B,445,1.0,20,0.0,0.0,0.0,0.0,0.5999999999999999,0.771891545665784,0.7562626700784596,0.9247368421052633,0.6815789473684211,0.0,0.005263157894736842,0.006065857885615251,42.0,29.73441938178781,0.73,0.004477180820335066,31.0,24.08447971781305,0.565,,
Gemma-2-9B,Gemma-2-9B,445,2.0,20,0.0,0.0,0.0,0.0,0.13000000000000003,0.991510847502578,0.8588972431077695,0.9436842105263159,0.20052631578947366,0.0,0.11578947368421053,0.0030329289428076256,21.0,20.90051020408163,0.155,0.002310803004043905,16.0,16.21153846153846,0.12500000000000003,,
Gemma-2-9B,Gemma-2-9B,495,0.0,20,0.0,0.0,0.0,0.0,0.8999999999999998,0.0,0.0,0.0,0.0,1.0,1.0,0.0014442518775274408,10.0,13.300000000000002,1.0,0.0012998266897746968,9.0,12.444444444444446,0.8999999999999998,,
Gemma-2-9B,Gemma-2-9B,495,0.5,20,0.08318724637288824,0.10551184751747347,0.0,0.0,0.705,0.7144884255932,0.698545066045066,0.8136842105263159,0.6868421052631579,0.005263157894736842,0.005263157894736842,0.004766031195840554,33.0,28.752063492063495,0.875,0.004043905257076834,28.0,26.120059523809523,0.7,1.2683656704360045,
